Date detected,Infected premises,Province,Premises type,Premises classification,PCZ,PCZ status
"November 22, 2023",BC-IP144,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 20, 2023",BC-IP143,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 19, 2023",BC-IP142,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 18, 2023",BC-IP141,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 17, 2023",BC-IP140,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 17, 2023",BC-IP139,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 17, 2023",BC-IP138,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 17, 2023",BC-IP137,British Columbia,commercial,poultry,PCZ-218,Revoked
"November 15, 2023",BC-IP136,British Columbia,commercial,poultry,PCZ-213,Revoked
"November 14, 2023",BC-IP135,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 13, 2023",BC-IP134,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 13, 2023",BC-IP133,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 12, 2023",BC-IP132,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 12, 2023",BC-IP131,British Columbia,commercial,poultry,PCZ-200,Revoked
"November 10, 2023",BC-IP130,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 10, 2023",BC-IP129,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 10, 2023",BC-IP128,British Columbia,commercial,poultry,PCZ-207,Revoked
"November 10, 2023",BC-IP127,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 8, 2023",BC-IP126,British Columbia,commercial,poultry,PCZ-212,Revoked
"November 8, 2023",BC-IP125,British Columbia,commercial,poultry,PCZ-200,Revoked
"November 8, 2023",BC-IP124,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 8, 2023",BC-IP123,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 8, 2023",BC-IP122,British Columbia,commercial,poultry,PCZ-213,Revoked
"November 7, 2023",BC-IP119,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 7, 2023",BC-IP117,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 7, 2023",BC-IP116,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 7, 2023",BC-IP115,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 7, 2023",BC-IP114,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 7, 2023",BC-IP113,British Columbia,commercial,poultry,PCZ-212,Revoked
"November 7, 2023",BC-IP112,British Columbia,commercial,poultry,PCZ-210,Revoked
"November 4, 2023",BC-IP111,British Columbia,commercial,poultry,PCZ-207,Revoked
"November 4, 2023",BC-IP110,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 2, 2023",BC-IP109,British Columbia,commercial,poultry,PCZ-197,Revoked
"October 26, 2023",BC-IP108,British Columbia,commercial,poultry,PCZ-197,Revoked
"October 25, 2023",BC-IP107,British Columbia,commercial,poultry,PCZ-200,Revoked
"October 24, 2023",BC-IP106,British Columbia,commercial,poultry,PCZ-199,Revoked
"October 20, 2023",BC-IP105,British Columbia,commercial,poultry,PCZ-197,Revoked
"April 29, 2023",BC-IP104,British Columbia,commercial,poultry,PCZ-189,Revoked
"January 22, 2023",BC-IP103,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 18, 2023",BC-IP102,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 14, 2023",BC-IP101,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 13, 2023",BC-IP100,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 11, 2023",BC-IP099,British Columbia,commercial,poultry,PCZ-153,Revoked
"January 7, 2023",BC-IP098,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 28, 2022",BC-IP094,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 27, 2022",BC-IP093,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 23, 2022",BC-IP092,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 22, 2022",BC-IP090,British Columbia,commercial,poultry,PCZ-158,Revoked
"December 20, 2022",BC-IP089,British Columbia,commercial,poultry,PCZ-166,Revoked
"December 20, 2022",BC-IP088,British Columbia,commercial,poultry,PCZ-166,Revoked
"December 18, 2022",BC-IP087,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 15, 2022",BC-IP086,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 13, 2022",BC-IP085,British Columbia,commercial,poultry,PCZ-166,Revoked
"December 13, 2022",BC-IP084,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 12, 2022",BC-IP083,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 11, 2022",BC-IP082,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 10, 2022",BC-IP081,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 10, 2022",BC-IP080,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 10, 2022",BC-IP079,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 9, 2022",BC-IP078,British Columbia,commercial,poultry,PCZ-165,Revoked
"December 9, 2022",BC-IP077,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 9, 2022",BC-IP076,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 7, 2022",BC-IP075,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 7, 2022",BC-IP074,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 7, 2022",BC-IP073,British Columbia,commercial,poultry,PCZ-152,Revoked
"December 7, 2022",BC-IP072,British Columbia,commercial,poultry,PCZ-164,Revoked
"December 6, 2022",BC-IP071,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 6, 2022",BC-IP070,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 6, 2022",BC-IP069,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 5, 2022",BC-IP068,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 4, 2022",BC-IP067,British Columbia,commercial,poultry,PCZ-158,Revoked
"December 4, 2022",BC-IP066,British Columbia,commercial,poultry,PCZ-158,Revoked
"December 3, 2022",BC-IP065,British Columbia,commercial,poultry,PCZ-148,Revoked
"December 2, 2022",BC-IP064,British Columbia,commercial,poultry,PCZ-153,Revoked
"December 3, 2022",BC-IP063,British Columbia,commercial,poultry,PCZ-162,Revoked
"December 2, 2022",BC-IP062,British Columbia,commercial,poultry,PCZ-161,Revoked
"December 1, 2022",BC-IP061,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 30, 2022",BC-IP060,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 29, 2022",BC-IP059,British Columbia,commercial,poultry,PCZ-161,Revoked
"November 26, 2022",BC-IP058,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 27, 2022",BC-IP057,British Columbia,commercial,poultry,PCZ-148,Revoked
"November 27, 2022",BC-IP056,British Columbia,commercial,poultry,PCZ-151,Revoked
"November 27, 2022",BC-IP055,British Columbia,commercial,poultry,PCZ-159,Revoked
"November 27, 2022",BC-IP054,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 27, 2022",BC-IP053,British Columbia,commercial,poultry,PCZ-153,Revoked
"November 26, 2022",BC-IP052,British Columbia,commercial,poultry,PCZ-152,Revoked
