Date detected,Infected Premises (IP) location Question,Province,Premises type Question,WOAH premises classification Question,Primary control zone (PCZ) Question - Map,Status of order declaring PCZ
"November 16, 2024",BC-IP195Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 16, 2024",BC-IP194Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP193Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP192Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP191Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP190Footnote *  Regional District of Central Kootenay,British Columbia,non-commercial,non-poultry,,
"November 15, 2024",BC-IP189Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 14, 2024",AB-IP85Footnote *  Special Area No. 3,Alberta,non-commercial,poultry,PCZ-245,Revoked
"November 14, 2024",BC-IP187Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 15, 2024",BC-IP188Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 12, 2024",AB-IP84Note de bas de page *  Camrose county,Alberta,commercial,poultry,PCZ-243,Revoked
"November 12, 2024",BC-IP186Footnote *  Fraser Valley Regional District,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-242 Revoked
"November 12, 2024",BC-IP185Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 12, 2024",BC-IP184Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 11, 2024",BC-IP183Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 10, 2024",BC-IP182Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 9, 2024",BC-IP181Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 9, 2024",BC-IP180Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 8, 2024",BC-IP179Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 8, 2024",AB-IP83Footnote *  Lamont County,Alberta,non-commercial,non-poultry,,
